Stock,minute_of_day,spread_bps,depth_gbp,volume
KGF.L,694,8.30295642102047,6301.597104838709,1828.7403734290324
KGF.L,695,8.365793895007553,6065.7739765625,1711.8833440739063
KGF.L,696,8.223543732220762,5851.778193548387,2757.2154147701613
KGF.L,697,8.631529362605596,6252.994671875,2821.293682878125
KGF.L,698,8.153023933233554,5786.393015873016,5795.344650007778
KGF.L,699,8.706443209020035,6423.674484126984,2907.914478513333
KGF.L,700,8.334469632893766,6929.7111,5239.144878171834
KGF.L,701,8.048633933455179,5977.018412698412,3033.7173171569843
KGF.L,702,8.176213123060272,5943.402428571429,1477.6961563187301
KGF.L,703,8.571539769475432,6827.304095238095,2124.2356341033333
KGF.L,704,7.766689781551944,5597.8539,36604.621452816165
KGF.L,705,8.435634824167819,6883.5121640625,3555.1583435840625
KGF.L,706,8.234848631090157,6361.336309523809,2217.5408457619046
KGF.L,707,8.35249858188108,7124.1530737704925,2533.1771410006554
KGF.L,708,8.222447928135058,6351.701912698412,18365.66876834111
KGF.L,709,8.110986164376575,6490.484650793651,4384.4533140404765
KGF.L,710,8.241988120968186,6357.8241953125,1571.3830989984376
KGF.L,711,7.711296805734175,6117.362209677419,1817.1869920808067
KGF.L,712,8.241486513286274,6366.660182539682,2163.2673652915873
KGF.L,713,8.38941915059495,5831.0299140625,1760.1084003906249
KGF.L,714,8.572879576664537,6318.218696721311,2402.9309382563933
KGF.L,715,8.589869662220956,6889.856071428571,2183.6217600892064
KGF.L,716,8.620600373706202,6521.041975806451,1862.6071734859677
KGF.L,717,8.876348396923863,6282.6325546875,10583.504308338906
KGF.L,718,8.872477834390297,6455.3819765625,2206.3398645578127
KGF.L,719,8.97679548572203,6788.508734375,1439.57740681125
KGF.L,720,8.74351351437859,6345.72703125,12323.6195664075
KGF.L,721,8.540891083954394,6343.65226984127,1744.8267496507935
KGF.L,722,7.860703043414011,5945.9201875,47457.7771630175
KGF.L,723,8.022892580786415,6045.793587301587,2318.218735812381
KGF.L,724,8.074945623999524,5599.153967741935,2160.0885632382256
KGF.L,725,8.568746979518775,6262.9006953125,1460.015625
KGF.L,726,8.376468540926464,5972.027706349207,1437.3410595614284
KGF.L,727,8.916132570765122,6088.818253968254,2199.630304163492
KGF.L,728,8.349465511828058,6415.25146031746,2970.247380475873
